text	label	score
趵突泉管好你自己	1	0.646242
防李清照的围挡哈哈哈哈	2	0.909193
大青岛	2	0.9877
扑棱鹅子	2	0.561283
轩轩的家乡	2	0.999437
小宋老师的姐妹等等	2	0.99213
年级第一我要当年级第一	2	0.991552
云梦	2	0.921046
没办法山东每个城市都很优秀很有特点你说气不气哈哈哈哈哈哈哈	2	0.614598
小宋是宋亚轩	2	0.930163
胶州一中	2	0.507226
在看的23人举个爪doge	2	0.762075
Minecraft诚不欺我	0	0.671017
我小宋老师	2	0.999343
亚轩的家乡好漂亮	2	0.999918
淄博淄博	2	0.861199
轩轩	2	0.869996
前面宋亚轩的等我不过我喜欢刘耀文	2	0.996079
我好闺蜜临清的临清一中	2	0.846549
严浩翔	1	1
枣庄三中学生报道啦	2	0.578891
山东一米六娇弱少女发来贺电	2	0.730829
前边的我专为小宋老师来的	2	0.993703
前方核能	2	0.441225
小宋老师	2	0.998834
宋老师家乡的等等我	2	0.999877
我不可能	0	0.972978
酒是雪花 doge	2	0.961572
前面说云梦的道友啊	0	0.314862
看不见我	0	0.845709
山东盒子曹县牛逼棒棒棒	2	0.989744
九龙拉棺准备启航	2	0.920644
地膜是考点快记笔记	2	0.397132
天王盖地虎宝塔镇河妖	2	0.873648
都是韭菜	0	0.954253
Tu1棒0白天鹅	2	0.928203
流水面包	2	0.780124
曹县的富翁们不给你三联了	0	0.972302
平一yyds	2	0.530413
轩轩的老家	2	0.99926
喵喵喵	2	0.997572
太容易晒伤了	0	0.995278
阳春一中高三 22班陈世铭来也	2	0.981817
嚯嚯嚯哈哈哈 汤姆猫的笑声	2	0.954742
10块钱	0	0.775717
2023考上人大	2	0.894384
乾杯	2	0.976149
德州扒鸡呢	2	0.618978
奥利给没毛病吧	0	0.188603
奥利给没毛病吧	0	0.188603
现实版白天鹅与丑小鸭 bushi	0	0.248409
啊对对对	1	0.461378
嗨嗨嗨	2	0.972016
红色霸屏	2	0.966853
高唐二中	1	1
聊城欢迎大家	2	0.990253
前方高能	2	0.099016
我的同学是孔子后人去孔庙就是祭祖免费哈哈	2	0.997043
山东人表示煎饼老好吃了	2	0.915249
中国石油大学 华东	2	0.920787
浩克山东	2	0.899792
7班李泽套CPDD	2	0.947498
我的家乡	2	0.999784
缭绕	2	0.777813
山东青岛欢迎您	2	0.976558
胶州湾排名啊啊啊	2	0.0612618
山东青岛前来报道	2	0.903014
姜子牙封于齐周公封于鲁	2	0.526426
泰山北斗泰斗重于泰山	2	0.959662
泰山封禅台	2	0.956237
蓬莱	2	0.913341
我老家大喜	2	0.994539
废话山东半岛上的城市不都是半岛城	2	0.493403
坐高铁到青岛北站可以看到胶州湾跨海大桥	2	0.920382
河南人表示一屋子的山东室友没有一个比我高	0	0.746927
山东不称齐只是因为齐是日期	0	0.841792
好可爱	2	0.999949
青岛公交车便利确实没得说	2	0.999209
没有退路哈哈哈哈哈哈哈哈哈哈	2	0.850414
洗海澡建议清晨去人少水清不热不晒中午到下午去游一不留神就会晒爆皮晚上没有太阳但会退潮水过浅	2	0.432348
一浴地方大二浴紧靠花石楼沙子更细腻三浴相对来说没什么人去	0	0.179647
八大关秋天来金色的银杏同无云的蓝天和海平面交相呼应美不胜收	2	0.986897
淄博沂源人报道	2	0.291711
考点	2	0.968004
没葱高哈哈哈	1	0.4195
青山渔村	2	0.379857
青岛贵妇黄渤申请出战	2	0.858705
兖州排面	2	0.699296
芝士海豹	2	0.974974
菏泽	2	0.87159
山东菏泽	2	0.896016
他们开挂我要举报他们	0	0.998953
莱芜好了我知道了	2	0.537996
趵突泉老师儿您礼貌吗	2	0.682839
泉州	2	0.993328
桂系部队	2	0.460128
别来广东啊 泪目	0	0.780552
青岛欢迎您	2	0.988054
空铁	2	0.363378
在潍坊拍一集柯南	2	0.85773
没有骡马么 泪目	0	0.945077
上头细来下头粗	0	0.578569
远看泰山黑乎乎	0	0.832464
走遍四海还是威海	2	0.902373
好熟悉的村里的院子啊想家	2	0.984338
浩克山东欢迎您	2	0.972704
海拔:海上拔河	2	0.986028
海马:海上马拉松	2	0.990457
王莽可是齐王之后哦祖籍当然是山东了	2	0.969395
春秋五霸的第一个	2	0.96454
省会确信	2	0.806939
省会	2	0.937768
齐国	2	0.962657
齐国	2	0.962657
让我看看本集文案这三个大手子	2	0.55222
哈哈文案可可爱爱	2	0.531141
没事你们还有泰山	2	0.806502
啊眼影盘	2	0.704235
乱飞法	0	0.992538
扒鸡察觉	2	0.530803
司机怎么出来	0	0.938068
山东比种地你们比不过俺的	2	0.113051
泰安人	2	0.957655
聊城临清人看到舍利宝塔哭死	0	0.819018
直接去电视上看不行吗	0	0.997189
枣庄排面	2	0.778587
24青岛大学	2	0.975119
顺利毕业大姨健康父母健康	2	0.982866
背景有点千里江山图	0	0.9829
孙艺宸之家	2	0.989349
地铁	2	0.901627
青岛大学欢迎你	2	0.973538
万事顺意	2	0.0467242
前三全靠人口多人均第十正卡在全国平均线上	2	0.297962
这明明是歼21	0	0.995083
这里去过	2	0.93592
黄岛报道	2	0.792672
前边雾霾严重的这是海雾不是霾	0	0.994118
这不是葱是树	0	0.991295
终于想起枣庄和聊城了	2	0.981683
山东省聊城市阳谷县报道	2	0.250013
后面都没人耐心看了呜呜呜	0	0.86691
以前富得流油啊	0	0.200587
临沭一中郑子阳实名观看	2	0.936075
清晰度感染	2	0.977328
大蒜啊	2	0.517585
济南没排面	1	0.56465
红了	0	0.0620215
这个音质	2	0.916885
上岸	2	0.588575
青岛啤酒在我家乡这边不好卖推销不出去	0	0.75844
宋亲中	2	0.98651
外地人表示对山东最大的印象是试卷难	0	0.493271
山东济南中国青岛世界潍坊宇宙寿光	2	0.905065
祈福的你们愿望实现了么	2	0.790402
我只想问祈愿的这些你们愿望实现了么	0	0.862927
